src_port,dst_port,payload_size,packet_count,duration_ms
63650,443,1637,4,158.90856406213055
58152,53,53,1,56.984956988827406
60437,443,1238,2,41.69406192790862
57542,443,1463,4,329.51178049049145
59118,443,2005,4,435.45598508107764
57333,22,367,1,23.599844240845616
51071,443,1477,5,223.72646476464476
63984,443,1864,5,282.96945845684274
63449,443,1755,4,55.55587546950058
51068,443,1747,4,92.27134239857624
50004,53,56,2,158.80929135416383
64446,443,1671,1,193.52265117111577
52543,80,661,1,205.01284618873956
58245,443,1916,4,1861.9736346616437
58378,443,1634,4,42.93908407333422
52213,443,2023,3,213.41197079130734
62949,443,1480,4,70.47977251523284
49795,443,1651,4,66.67275962794528
64846,443,1635,4,248.04715630968082
56804,443,1626,6,226.20005802353182
53488,80,596,2,273.85742218073057
62840,53,48,2,212.9135042276855
50490,443,1809,5,415.67702698168137
62641,443,1617,4,58.22863328066947
63527,80,838,3,74.0911089809502
62948,80,586,3,576.2018735088003
51131,443,1461,4,103.7486010938137
55635,22,508,4,36.50795264042907
53949,443,1679,4,105.10344514012479
52269,443,1490,4,1069.7884163978208
61730,443,1160,3,534.3460873971288
57576,443,1367,4,1260.4241720792895
53876,80,1008,3,158.99943385273914
55629,443,1491,4,192.7005375417365
59425,443,1286,3,75.23549446617987
58507,443,1577,2,319.7854170311398
54948,80,854,3,182.32101449528602
58948,443,1182,3,855.3370252129962
60397,443,1667,2,37.07551724758361
61066,80,1182,4,161.57631458928822
57167,22,462,1,1708.4611901473636
49602,443,1510,4,170.2552386881177
54383,80,987,3,199.62979026781582
62608,443,1507,4,1037.5553226172574
62377,53,75,3,110.44076059178884
56700,443,1019,2,209.97953501582947
56883,443,1305,2,268.3409116367989
58208,443,1505,3,101.21081215453745
60237,80,462,1,202.6535708549957
64555,443,979,2,202.38178459367614
58811,443,1103,3,88.17156032278426
61596,80,403,1,160.02657955796306
51919,443,1471,5,299.58565284364863
58561,443,1367,5,192.15861835968838
55272,80,801,2,857.505614744526
64819,443,1476,4,53.72013208261838
64413,443,1343,2,901.7179300638385
58247,80,880,4,167.16239979868044
49317,443,1734,1,231.18121785213003
54547,443,1654,3,291.6988291183461
51172,443,1175,3,106.55015737814738
61855,443,1455,1,365.0476259699084
56553,443,1735,5,436.5874994105421
62169,443,1837,5,166.97038856974547
53831,443,1616,3,42.507382975940224
56998,443,1625,3,164.1756158816267
56693,80,658,3,256.32814154428985
58011,443,1899,2,519.4373729620456
50707,53,56,2,151.28728628770054
64849,443,369,1,332.9228174190749
59670,80,771,2,38.43192487018461
61025,443,1825,4,128.47726205924613
50744,443,1513,5,64.97033589604763
55662,443,2109,4,66.84489855281811
64904,443,1596,2,462.7028937810204
57569,443,1274,5,370.7576967586589
49271,80,759,4,303.6297811786721
